month,day,country_of_user,model_photography,page_number,unique_product_models,category_1_clicks,category_2_clicks,category_3_clicks,num_revisits
4,1,29,2,3,8,1,3,2,0.0
4,1,29,2,2,8,2,4,0,1.0
4,1,21,2,1,3,0,1,2,0.0
4,1,21,1,3,4,2,0,2,0.0
4,1,9,1,1,1,0,0,1,0.0
4,1,9,1,2,3,0,0,3,0.0
4,1,29,2,4,8,0,1,1,0.0
4,1,9,2,3,8,0,2,6,0.0
4,1,29,1,2,3,2,1,0,0.0
4,1,16,2,1,5,1,4,0,0.0
4,1,9,1,1,1,1,0,0,0.0
4,1,29,1,2,6,0,5,1,1.0
4,1,38,1,1,3,3,0,0,0.0
4,1,9,1,1,1,1,0,0,0.0
4,1,21,2,3,20,2,13,5,0.0
4,1,29,1,1,1,0,0,0,0.0
4,1,9,2,2,4,1,2,1,0.0
4,1,9,2,2,5,5,0,0,0.0
4,1,29,2,2,3,1,0,2,0.0
4,1,29,1,2,2,2,0,0,0.0
4,1,29,1,1,5,0,3,2,0.0
4,1,9,2,2,3,3,0,0,0.0
4,1,29,1,1,1,0,0,0,0.0
4,1,29,1,2,5,0,3,1,0.0
4,1,9,1,1,1,0,1,0,0.0
4,1,29,1,1,2,2,0,0,0.0
4,1,9,2,1,5,1,1,3,0.0
4,1,29,2,1,4,2,0,1,0.0
4,1,29,1,1,3,3,0,0,0.0
4,1,29,2,3,10,4,2,4,0.0
4,1,29,2,3,7,1,4,4,2.0
4,1,29,2,2,3,2,0,0,0.0
4,1,29,2,4,15,5,1,0,1.0
4,1,24,1,1,1,0,1,0,0.0
4,1,24,2,2,5,4,1,0,0.0
4,1,29,1,1,1,0,0,0,1.0
4,1,29,2,2,5,1,3,0,0.0
4,1,29,1,2,4,2,0,0,0.0
4,1,41,1,2,2,1,0,1,0.0
4,1,9,2,2,6,4,2,0,0.0
4,1,9,2,2,2,2,0,0,0.0
4,1,29,1,1,1,1,0,0,0.0
4,1,9,2,2,11,0,20,0,3.0
4,1,9,2,3,9,2,4,3,0.0
4,1,12,2,2,3,3,0,0,0.0
4,1,9,1,1,1,1,0,0,0.0
4,1,29,1,2,4,0,2,0,0.0
4,1,29,2,1,3,1,0,0,0.0
4,1,9,2,4,27,12,4,11,0.0
4,1,29,1,1,4,0,4,0,0.0
4,1,9,1,1,3,4,0,0,1.0
4,1,38,2,1,8,2,5,0,1.0
4,1,9,1,1,2,2,0,0,0.0
4,1,29,2,1,3,0,0,0,0.0
4,1,29,2,1,6,0,0,4,1.0
4,1,29,2,2,7,3,2,1,0.0
4,1,41,2,2,3,0,0,0,0.0
4,1,29,2,2,4,2,0,0,0.0
4,1,24,1,1,1,0,0,1,0.0
4,1,21,2,1,5,2,3,1,1.0
4,1,24,2,2,4,1,3,0,0.0
4,1,9,2,1,4,0,0,4,0.0
4,1,24,2,2,10,0,13,0,2.0
4,1,24,1,2,3,3,0,0,0.0
4,1,24,2,1,2,1,1,0,0.0
4,1,24,2,3,17,10,4,3,0.0
4,1,24,1,1,1,1,0,0,0.0
4,1,24,2,4,11,2,2,7,0.0
4,1,41,1,1,3,0,3,0,0.0
4,1,9,1,1,1,1,0,0,0.0
4,1,29,1,1,1,0,0,1,0.0
4,1,29,1,1,1,1,0,0,0.0
4,1,29,2,3,6,3,0,0,0.0
4,1,29,1,1,1,0,1,0,0.0
4,1,29,2,5,9,2,0,1,1.0
4,1,29,2,1,4,0,4,0,0.0
4,1,9,1,1,1,0,0,1,0.0
4,1,29,2,2,10,4,0,0,0.0
4,1,29,1,1,2,0,0,1,0.0
4,1,29,2,1,4,0,5,0,1.0
4,1,29,2,2,7,2,1,3,0.0
4,1,29,2,1,7,0,0,2,1.0
4,1,9,1,2,4,0,3,1,0.0
4,1,24,1,1,1,0,0,1,0.0
4,1,24,2,3,10,3,4,3,0.0
4,1,41,2,1,4,3,0,0,0.0
4,1,29,1,1,4,0,0,2,0.0
4,1,29,1,1,1,0,0,1,0.0
4,1,29,1,1,1,0,0,0,0.0
4,1,29,2,1,4,0,1,2,0.0
4,1,24,1,1,1,1,0,0,0.0
4,1,29,2,4,9,3,2,0,0.0
4,1,9,2,1,2,0,0,2,0.0
4,1,9,2,3,5,1,3,1,0.0
4,1,21,1,1,1,0,0,0,0.0
4,1,21,1,1,1,0,0,1,0.0
4,1,29,2,2,8,0,6,0,1.0
4,1,29,1,1,10,3,0,4,0.0
4,1,29,1,1,1,0,1,0,0.0
4,1,29,1,1,3,1,0,2,1.0
