session_id,num_of_clicks,Total_revenue,year,month,day,country_of_user,unique_categories,unique_product_models,colour_of_product,location_of_product,model_photography,price_above_avg,ratio_of_above_avg_price,page_number,purchased,date,day_of_week,is_weekend,is_end_of_month,week_num,session_duration_min,bounced,avg_time_per_click,category_1_clicks,category_2_clicks,category_3_clicks,category_4_clicks,first_category,category_switches,last_category,num_revisits,cluster_label
1,8,351,2008,4,1,29,4,8,6,6,2,1,0.625,3,1,2008-06-22,6,1,0,25,7.0,0,0.875,1,3,2,2,2,5,3,0.0,0
2,9,443,2008,4,1,29,3,8,5,6,2,1,0.7777777777777778,2,1,2008-05-19,0,0,0,21,9.0,0,1.0,2,4,0,3,1,5,2,1.0,0
3,3,134,2008,4,1,21,2,3,3,2,2,1,0.6666666666666666,1,0,2008-07-15,1,0,0,29,4.0,0,1.3333333333333333,0,1,2,0,3,1,2,0.0,0
4,4,181,2008,4,1,21,2,4,2,4,1,1,0.5,3,0,2008-05-02,4,0,0,18,3.0,0,0.75,2,0,2,0,1,3,3,0.0,0
5,1,57,2008,4,1,9,1,1,1,1,1,1,1.0,1,0,2008-06-09,0,0,0,24,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
6,3,119,2008,4,1,9,1,3,3,3,1,1,0.3333333333333333,2,0,2008-08-08,4,0,0,32,2.0,0,0.6666666666666666,0,0,3,0,3,0,3,0.0,0
7,8,288,2008,4,1,29,3,8,6,4,2,1,0.25,4,1,2008-05-02,4,0,0,18,9.0,0,1.125,0,1,1,6,4,3,4,0.0,0
8,8,293,2008,4,1,9,2,8,5,3,2,1,0.375,3,0,2008-04-16,2,0,0,16,8.0,0,1.0,0,2,6,0,3,4,3,0.0,0
9,3,123,2008,4,1,29,2,3,3,3,1,1,0.3333333333333333,2,0,2008-06-05,3,0,0,23,2.0,0,0.6666666666666666,2,1,0,0,2,1,1,0.0,0
10,5,227,2008,4,1,16,2,5,5,3,2,1,0.6,1,0,2008-05-01,3,0,0,18,4.0,0,0.8,1,4,0,0,2,2,2,0.0,0
11,1,72,2008,4,1,9,1,1,1,1,1,1,1.0,1,0,2008-04-19,5,1,0,16,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
12,7,351,2008,4,1,29,3,6,6,5,1,1,0.8571428571428571,2,1,2008-05-11,6,1,0,19,6.0,0,0.8571428571428571,0,5,1,1,4,3,2,1.0,0
13,3,114,2008,4,1,38,1,3,2,2,1,2,0.0,1,0,2008-07-07,0,0,0,28,2.0,0,0.6666666666666666,3,0,0,0,1,0,1,0.0,0
14,1,43,2008,4,1,9,1,1,1,1,1,2,0.0,1,0,2008-05-19,0,0,0,21,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
15,20,971,2008,4,1,21,3,20,13,5,2,1,0.6,3,0,2008-07-09,2,0,0,28,24.0,0,1.2,2,13,5,0,2,9,3,0.0,1
16,1,28,2008,4,1,29,1,1,1,1,1,2,0.0,1,1,2008-04-04,4,0,0,14,0.0,0,0.0,0,0,0,1,4,0,4,0.0,0
17,4,181,2008,4,1,9,3,4,3,3,2,1,0.5,2,0,2008-04-17,3,0,0,16,5.0,0,1.25,1,2,1,0,1,2,2,0.0,0
